Pos,Breeder,Name,Color,Sex,Speed
1,Texas Outlaws,,BCWF,H,172.155
2,Junior Juanich,,SIWF,H,163.569
3,Jerry Allensworth,Perch Potato,BB,H,163.442
4,Alias-Alias,,BBSP,H,163.392
5,Greg Glazier,,BC,H,163.366
6,Dal-Tex R P C,,BC,H,163.19
7,Greg Glazier,,BBWF,C,163.139
8,N C Syndicate,,BC,H,163.038
9,Baldwin & Tilson,,BB,H,162.913
10,Texas Outlaws,,BC,H,162.888
10,Redtex,,RED,H,162.888
12,Terry Montgomery,,BC,H,162.762
13,Woodsend/Perry,,RC,H,162.687
14,Crestview Loft,,BBSP,H,162.662
14,Goshentown Lofts,,BB,H,162.662
16,Flyhome Loft,,BB,H,162.587
17,Alias-Alias,,BBSP,H,162.562
18,Skip's Janssens,,BCWF,H,162.537
18,Bud & Orie Loft,,BLK,H,162.537
20,Milner-Mckinsey,,BBWF,C,162.437
21,Shawnie & Lenny Loft,,BC,H,162.262
22,Nanez Family Lofts,,BBWF,H,162.212
23,Dal-Tex R P C,,BC,H,162.187
24,Jb & D,,BB,H,162.063
25,Silver Dollar Loft,,BC,H,162.038
26,Protege Loft,,BC,H,161.988
27,Mike Belus,,BBWF,H,161.914
28,Sierra Ranch Classic,,BBWF,H,161.864
29,A P C Loft,,GRZL,H,161.839
30,Churn Creek Loft,,BB,H,161.765
31,Sandstrom Brothers Loft,,BBPD,H,161.591
32,Alias-Alias,,BB,H,161.567
33,Silver Dollar Loft,,BC,H,161.394
33,Flying D Loft 2,,DC,H,161.394
35,Clear Springs Loft,,BB,H,161.32
36,Equalizer Loft,Lil Dat,BC,H,161.221
37,Mike Belus,,BBWF,H,161.148
38,Clear Springs Loft,,BB,H,161.049
39,Stenman Loft,,BC,H,161
40,Skip's Janssens,,BB,H,160.78
41,Crowley's Ridge Loft,,BB,H,160.755
42,Dave Harrett,,BC,H,160.731
43,Dave Dudley,,BC,H,160.682
44,Dave Dudley,,BC,H,160.657
45,Mc Laughlin Lofts,,BC,H,160.633
46,Little Reata Loft,,BCWF,H,160.584
47,Skip's Janssens,,BBWF,H,160.462
48,Emerson/Krass,,BC,H,160.364
49,Non Pareil Loft,,BB,H,160.291
50,Andy Skwiat,,DCWF,H,160.048
51,Redtex,,RED,H,159.806
52,American Lofts,,WGRZ,H,159.734
53,Woodsend/Perry,,RC,H,159.637
54,Alonso Loft,,BB,H,159.613
55,Captain Chuck,,RCSP,H,159.444
56,Shang N Dennis Yoh,,BBSP,H,159.42
57,Crestview Loft,,BCWF,H,159.276
